2026-09-21 19:21:27,714 INFO listening on 0.0.0.0:60076
2026-09-21 19:21:27,858 INFO round=1 team=('1', 'challenger') actions=3
2026-09-21 19:21:27,882 INFO round=2 team=('1', 'challenger') actions=3
2026-09-21 19:21:27,896 INFO round=3 team=('1', 'challenger') actions=3
2026-09-21 19:21:27,958 INFO round=4 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,000 INFO round=5 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,043 INFO round=6 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,087 INFO round=7 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,131 INFO round=8 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,192 INFO round=9 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,238 INFO round=10 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,299 INFO round=11 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,361 INFO round=12 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,372 INFO round=13 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,384 INFO round=14 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,395 INFO round=15 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,405 INFO round=16 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,438 INFO round=17 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,470 INFO round=18 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,502 INFO round=19 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,535 INFO round=20 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,570 INFO round=21 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,625 INFO round=22 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,669 INFO round=23 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,709 INFO round=24 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,761 INFO round=25 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,802 INFO round=26 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,846 INFO round=27 team=('1', 'challenger') actions=3
2026-09-21 19:21:28,888 INFO round=28 team=('1', 'challenger') actions=2
2026-09-21 19:21:28,923 INFO round=29 team=('1', 'challenger') actions=2
2026-09-21 19:21:28,954 INFO round=30 team=('1', 'challenger') actions=2
2026-09-21 19:21:28,986 INFO round=31 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,015 INFO round=32 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,041 INFO round=33 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,066 INFO round=34 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,098 INFO round=35 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,145 INFO round=36 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,176 INFO round=37 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,209 INFO round=38 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,239 INFO round=39 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,284 INFO round=40 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,316 INFO round=41 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,346 INFO round=42 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,371 INFO round=43 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,392 INFO round=44 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,415 INFO round=45 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,426 INFO round=46 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,461 INFO round=47 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,476 INFO round=48 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,491 INFO round=49 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,522 INFO round=50 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,554 INFO round=51 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,585 INFO round=52 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,615 INFO round=53 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,623 INFO round=54 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,629 INFO round=55 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,637 INFO round=56 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,644 INFO round=57 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,650 INFO round=58 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,656 INFO round=59 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,691 INFO round=60 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,705 INFO round=61 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,732 INFO round=62 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,767 INFO round=63 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,801 INFO round=64 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,834 INFO round=65 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,850 INFO round=66 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,885 INFO round=67 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,900 INFO round=68 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,915 INFO round=69 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,931 INFO round=70 team=('1', 'challenger') actions=2
2026-09-21 19:21:29,949 INFO round=71 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,965 INFO round=72 team=('1', 'challenger') actions=3
2026-09-21 19:21:29,980 INFO round=73 team=('1', 'challenger') actions=3
2026-09-21 19:21:30,014 INFO round=74 team=('1', 'challenger') actions=2
2026-09-21 19:21:30,063 INFO round=75 team=('1', 'challenger') actions=3
2026-09-21 19:21:30,080 INFO round=76 team=('1', 'challenger') actions=3
